r,rdfalpha,rdfbeta,rdfdelta,rdfgamma,rdfmodul,rdf141s54e05,rdf141s54e1,rdf141s55e1,rdf141s53e35
1.85,0.94959889,0.143168708,1.70395321,0.695390869,1.77377375,1.8978128,2.09395169,1.92176172,1.18802873
1.86666667,0.835858448,0.137753686,1.84976775,0.734686325,1.1141136,2.02483963,2.00756738,1.83280937,0.930007342
1.88333333,0.743598456,0.242459749,1.90303439,0.66535466,0.567854046,1.98132923,1.76988303,1.58265823,0.722118845
1.9,0.75831103,0.340716798,1.8660171,0.709134148,0.497829994,1.959546,1.40682066,1.36110964,0.561855374
1.91666667,0.826844043,0.460033235,1.82009543,0.72135389,1.15818168,1.95712081,1.1594019,1.11729855,0.584226901
1.93333333,0.739076428,0.601956033,1.83627695,0.698268998,1.7781193,1.70800915,1.08747791,1.01664075,0.638558102
1.95,0.828403488,0.738980322,1.66994413,0.741610145,1.62008343,1.58031958,0.97278532,0.939567708,0.888192754
1.96666667,0.791799487,0.977295969,1.58064948,0.72392294,0.914667442,1.37889266,0.884550069,0.935462445,1.15004186
1.98333333,0.873880324,1.14651828,1.41206481,0.688927838,0.807025312,1.17456934,0.975669318,1.03882673,1.46055993
2,0.812501344,1.16998897,1.36476509,0.692493474,1.53301681,1.01155855,1.02660461,1.13635728,1.60612992
2.01666667,0.756097218,1.38677758,1.35459451,0.737647651,2.62006213,1.01198283,1.0347496,1.29200598,1.81861771
2.03333333,0.780033686,1.20208511,1.2742107,0.619182672,2.57614566,0.965227683,1.11751418,1.38085301,1.85509869
2.05,0.794171672,1.12788975,1.22653612,0.659125442,1.66904069,0.891210927,1.26796511,1.39310276,1.72628418
2.06666667,0.851653647,0.988024351,1.2047047,0.716434719,1.15961052,0.895321305,1.30396069,1.35688913,1.46442243
2.08333333,0.840961773,0.824824601,1.27661889,0.594426668,1.30849695,0.969585556,1.33651342,1.38239289,1.29545545
2.1,0.796487007,0.748292671,1.19871585,0.571423494,1.75308977,0.949007526,1.19885685,1.40588858,1.12095063
2.11666667,0.795153399,0.511124523,1.13628753,0.595939946,1.65505117,0.921721599,1.19348481,1.26513442,0.85700487
2.13333333,0.802003842,0.413082334,1.10761621,0.60204553,1.29037451,0.99994466,1.08640986,1.08863991,0.638450358
2.15,0.813955469,0.337476802,1.02954418,0.629524034,1.58984369,0.968477364,0.971481948,0.925311439,0.483688005
2.16666667,0.862724059,0.215146086,0.964384886,0.660349372,2.37836214,0.974344851,0.920105006,0.845289162,0.382828887
2.18333333,0.87320312,0.211873965,0.914437042,0.706945806,2.23334301,0.887658858,0.776944296,0.672239953,0.390859765
2.2,0.836779084,0.105371014,0.837712157,0.727266604,1.47259423,0.889564832,0.688695353,0.554092122,0.414197584
2.21666667,0.920913815,0.177057711,0.759482432,0.801847566,0.889903627,0.87152731,0.534222686,0.542090993,0.422392229
2.23333333,0.954836712,0.114278404,0.647944625,0.781904867,0.665778272,0.766678053,0.532776274,0.478440124,0.511627905
2.25,0.928397725,0.128394008,0.585407087,0.81382048,0.452830131,0.708723406,0.478273989,0.42289377,0.594456016
2.26666667,0.973186248,0.122620109,0.524632056,0.932302098,0.331433192,0.674010125,0.511815175,0.439700053,0.735396085
2.28333333,0.937452864,0.19564017,0.529206941,0.945594153,0.262375637,0.723700949,0.579848736,0.546643743,0.861315884
2.3,0.964086131,0.257086787,0.51125409,1.06615403,0.367371713,0.732503967,0.626610323,0.702866968,0.986196881
2.31666667,0.982871456,0.316751273,0.497995887,1.0452792,0.721572967,0.739254444,0.847080355,0.749534625,1.06258431
2.33333333,0.939033607,0.525301979,0.550183295,1.10570556,0.972949746,0.784002774,0.903899076,0.922537998,1.11763595
2.35,0.986875095,0.79492361,0.57862232,1.08826672,0.797765776,0.877710375,1.01183995,0.958883361,1.05827815
2.36666667,1.0198903,1.16583105,0.630554223,1.11227067,0.541503241,0.976975311,1.129886,0.998986162,1.0947966
2.38333333,1.01887966,1.61962661,0.682582406,1.08796657,0.303101154,1.05219684,1.18260079,1.00986987,0.970754108
2.4,1.01996877,2.07810909,0.770199073,0.999992345,0.198178806,1.12926064,1.10595206,1.04481923,0.984342664
2.41666667,1.05303577,2.53924348,0.819540742,1.06672198,0.156686859,1.09075021,1.12879963,1.03590572,1.06934743
2.43333333,1.08932642,2.98083695,0.888957612,0.962649895,0.186413353,1.15013775,1.06960465,0.998733898,1.13520952
